- Vault access	:	Julian Thorne possessed a key and the security code to Alistair Finch's private vault.
- Calm demeanor	:	Several witnesses noted Ms. Hayes appeared unusually composed after Mr. Finch's sudden death.

- Claims of devastation	:	Ms. Hayes stated she was deeply saddened by Mr. Finch's passing.

- Resolved argument	:	Ms. Hayes claims the argument was minor and quickly resolved.

- Flavoring agent explanation	:	Ms. Hayes asserts the added substance was a natural flavoring for the beer.

- Fiction writing alibi	:	Ms. Hayes claims her poison research was for a novel she is writing.

- Shock response	:	Ms. Hayes suggests her calm demeanor was a result of shock.

- Employee testimony (hops)	:	A brewery employee corroborates seeing Ms. Hayes add a liquid, which she described as a 'hops extract'.

- Dashcam footage (Harrison)	:	Mr. Harrison's dashcam shows his vehicle entering the intersection while the traffic light directly ahead appears green.

- Passenger testimony	:	Mr. Harrison's passenger confirms that the light was green for their vehicle.

- Damage to Davies's bumper	:	The police report notes significant damage to the front of Ms. Davies's vehicle.

- Harrison's statement	:	Mr. Harrison consistently states that his light was green and Ms. Davies ran a red light.

- Davies's demeanor	:	Witnesses at the scene noted Ms. Davies appeared agitated and confused after the collision.

- More damage to Harrison's car	:	Mr. Harrison's vehicle sustained more extensive damage overall compared to Ms. Davies's car.

- Davies's braking	:	Skid marks at the scene suggest Ms. Davies applied her brakes before the impact.

- Davies's statement	:	Ms. Davies consistently maintains that her light was green and Mr. Harrison was speeding.

- Light malfunction report	:	Police records indicate a report of intermittent traffic light sequence issues at that intersection three days prior to the accident.

- Concentrated front damage	:	The damage to Ms. Davies's car is primarily concentrated on the front, suggesting she was braking and the impact was head-on.

- Specific anonymous tip	:	The anonymous tip accurately described the location, time, attendees, and identified Mr. Sterling as the organizer.

- Gambling paraphernalia found	:	Police discovered poker tables, chips, and other gambling-related items at the location.

- Attendee testimonies	:	Three attendees stated that Mr. Sterling personally invited them to the game via text message.

- Suspicious cash deposits	:	Financial records for the raided location show regular, large cash deposits with no clear business justification.

- Prior gambling conviction	:	Mr. Sterling has a record of a misdemeanor conviction for illegal gambling from eight years prior.

- Claims of being a guest	:	Mr. Sterling maintains he was merely a participant and did not organize the game.

- Cash from 'legitimate winnings'	:	Mr. Sterling claims the cash he possessed was from previous, legal poker games.

- Unrecalled invitation source	:	Mr. Sterling states he was invited by someone he cannot remember.

- Mistaken identity possibility	:	Mr. Sterling suggests that acquaintances might have mistakenly believed he informed them about the game.

- Youthful indiscretion	:	Mr. Sterling's lawyer downplays his prior conviction as a minor offense from his youth.

- Reputable businessman	:	Testimony from Mr. Sterling's lawyer emphasizes his client's standing in the community.

- Motive: Project exclusion	:	Dr. Thorne had expressed frustration about being excluded from the 'Project Chimera' team.

- Similar build	:	The shadowy figure in the security footage has a similar height and build to Dr. Thorne.

- Perimeter badge access	:	Dr. Thorne's access badge was used to enter the outer security perimeter of the lab facility at 11:17 PM.

- Unusual file access	:	Computer logs show Dr. Thorne accessed several files containing keywords related to 'Project Chimera' in the days before the theft.

- Evasive questioning	:	Investigator notes indicate Dr. Thorne was hesitant and vague when asked about his whereabouts on the night of the theft.

- Grainy footage	:	The security footage of the intruder is low-resolution and the figure's features are obscured.

- Legitimate badge use	:	Dr. Thorne often works late and has legitimate reasons to access the outer facility for his independent research.

- Public information review	:	Dr. Thorne claims his file access was related to publicly available research on similar technologies.

- Irregular work hours	:	Dr. Thorne's neighbor confirms he often works late into the night at home.

- No forced entry	:	There were no signs of forced entry into the specific lab where the technology was stolen, suggesting someone with authorized access was involved.

